запрос,id,адрес,цена,комнат,площадь,метров_до_патриарших,оценка_1_2_3,описание
b04,cian_332473005,"Москва, Дружинниковская улица, 18",110432290,1,45.8,1221,"","Продаётся 1-комнатная квартира с просторной кухней-гостиной в клубном жилом проекте элит-класса ""Дом Спорта"" — идеальный формат для тех, кто ценит комфорт и продуманную функциональность. Пространство, где каждая деталь создана для вашей жизни в комфорте и балансе. Это квартира, в которой компактность сочетается с ощущением пространства и свободы. Планировка продумана так, чтобы создать максимально удобную и современную среду для жизни: — Просторная кухня-гостиная для отдыха, работы и приёма гостей — Изолированная мастер-спальня с гардеробной — приватная зона для спокойствия и восстановления Ок"
b04,cian_331726536,"Москва, Дружинниковская улица, 18",110432290,1,45.8,1221,"","Продаётся 1-комнатная квартира с просторной кухней-гостиной в клубном жилом проекте элит-класса ""Дом Спорта"" — идеальный формат для тех, кто ценит комфорт и продуманную функциональность. Пространство, где каждая деталь создана для вашей жизни в комфорте и балансе. Это квартира, в которой компактность сочетается с ощущением пространства и свободы. Планировка продумана так, чтобы создать максимально удобную и современную среду для жизни: — Просторная кухня-гостиная для отдыха, работы и приёма гостей — Изолированная мастер-спальня с гардеробной — приватная зона для спокойствия и восстановления Ок"
b04,cian_332473016,"Москва, Дружинниковская улица, 18",183008133,2,74.4,1221,"","Старт продаж! Продаётся 2-комнатная квартира евроформата в клубном жилом проекте элит-класса ""Дом Спорта"" — пространство с выразительной архитектурой и гибкой планировкой в центре Москвы. Квартира спроектирована так, чтобы адаптироваться под разные сценарии жизни, сохраняя баланс между приватностью и открытым пространством: — Кухня-гостиная — основная зона для жизни, отдыха и приёма гостей — Изолированная мастер-спальня с гардеробной — приватное пространство для комфорта и уединения Окна жилых комнат ориентированы на запад и север. Западная сторона открывает виды в сторону Москва-Сити и наполн"
b04,cian_332473019,"Москва, Дружинниковская улица, 18",309715153,3,98.3,1221,"","Старт продаж! Продаётся 3-комнатная квартира евроформата в клубном жилом проекте элит-класса ""Дом Спорта"". Планировка квартиры продумана для комфортной и размеренной жизни, сочетая приватность личных пространств и функциональность общей зоны: — Просторная кухня-гостиная — место для отдыха, общения и приёма гостей — Две изолированные мастер-спальни — приватные зоны для комфортного проживания Ключевое преимущество квартиры — две собственные террасы. Первая терраса примыкает к спальне, создавая уединённое пространство для отдыха. Вторая имеет выход из гостиной и становится естественным продолжени"
b04,cian_320386160,"Москва, Б. Никитская ул., 9",350000000,2,107.7,1234,"","ID 64518. ЖК Стелла ди Моска (Stella di Mosca). Не имеющая аналогов в Москве эксклюзивная резиденция площадью 107,7 кв.м с приватной террасой в жилом комплексе класса deluxe Stella di Mosca Hotel & Residences в шаге от Кремля. Выполнена изящная высококачественная отделка от известной мировой команды архитектурного бюро ANTONIO CITTERIO - PATRICIA VIEL, соответствующая всем стандартам легендарного Дома Bvlgari с использованием исключительно материалов премиум-класса (оникс, мрамор, натуральный камень, бронза, ценные породы дерева). Резиденция укомплектована функциональной гардеробной из натурал"
b04,cian_331726546,"Москва, Дружинниковская улица, 18",296739345,3,97.3,1250,"","Старт продаж! Продаётся 3-комнатная квартира евроформата в клубном жилом проекте элит-класса ""Дом Спорта"". Планировка квартиры сочетает функциональность, приватность и возможность адаптации пространства под разные сценарии жизни: — Просторная кухня-гостиная — центр повседневной жизни, отдыха и приёма гостей — Две изолированные мастер-спальни с гардеробными — комфортные приватные зоны для каждого члена семьи Ключевое преимущество квартиры — светлая гостиная зона с панорамным остеклением и возможностью гибкой организации пространства. В базовом варианте кухня объединена с гостиной, формируя прос"
b04,cian_331726545,"Москва, Дружинниковская улица, 18",398041268,4,162.0,1250,"","Старт продаж! Продаётся 4-комнатная квартира с просторной террасой в клубном жилом проекте элит-класса ""Дом Спорта"" — редкий формат для тех, кто выбирает приватность, масштаб и безупречный комфорт. Эта квартира — больше, чем просто квадратные метры. Это продуманное пространство для жизни, отдыха и вдохновения. Планировка создана для максимального комфорта: — Просторная кухня-столовая для семейных ужинов и приёма гостей — Изолированная гостиная для уютных вечеров и приватного отдыха — Большая мастер-спальня с гардеробной — Две просторные спальни с гардеробными — для детей, кабинета или гостевых"
b04,cian_332597348,"Москва, Дружинниковская улица, 18",398041268,4,162.0,1250,"","Старт продаж! Продаётся 4-комнатная квартира с просторной террасой в клубном жилом проекте элит-класса ""Дом Спорта"" — редкий формат для тех, кто выбирает приватность, масштаб и безупречный комфорт. Эта квартира — больше, чем просто квадратные метры. Это продуманное пространство для жизни, отдыха и вдохновения. Планировка создана для максимального комфорта: — Просторная кухня-столовая для семейных ужинов и приёма гостей — Изолированная гостиная для уютных вечеров и приватного отдыха — Большая мастер-спальня с гардеробной — Две просторные спальни с гардеробными — для детей, кабинета или гостевых"
b04,cian_331232080,"Москва, улица Климашкина, 7/11",102488320,1,50.2,1272,"","Климашкина 7/11 — редкая возможность жить в доме с историей и характером Открыт старт продаж в камерном клубном доме премиум-класса. Климашкина 7/11 — современный проект с редкой деталью: сохранённый фасад особняка XIX века. Всего 46 резиденций. На этаже — от 2 до 4 квартир, что создает исключительную приватность, редкую даже для элитного сегмента. Локация, которая говорит сама за себя Тихий и интеллигентный центр Пресни — место, где Москва раскрывается с лучшей стороны. В вашем окружении: — Центр Зотов и знаковые памятники конструктивизма — мастерская Зураба Церетели — Римско-католический каф"
b04,cian_331232079,"Москва, улица Климашкина, 7/11",129588800,1,79.6,1272,"","Климашкина 7/11 — редкая возможность жить в доме с историей и характером Открыт старт продаж в камерном клубном доме премиум-класса. Климашкина 7/11 — современный проект с редкой деталью: сохранённый фасад особняка XIX века. Всего 46 резиденций. На этаже — от 2 до 4 квартир, что создает исключительную приватность, редкую даже для элитного сегмента. Локация, которая говорит сама за себя Тихий и интеллигентный центр Пресни — место, где Москва раскрывается с лучшей стороны. В вашем окружении: — Центр Зотов и знаковые памятники конструктивизма — мастерская Зураба Церетели — Римско-католический каф"
b04,cian_331232083,"Москва, улица Климашкина, 7/11",248636080,3,156.1,1272,"","Климашкина 7/11 — редкая возможность жить в доме с историей и характером Открыт старт продаж в камерном клубном доме премиум-класса. Климашкина 7/11 — современный проект с редкой деталью: сохранённый фасад особняка XIX века. Всего 46 резиденций. На этаже — от 2 до 4 квартир, что создает исключительную приватность, редкую даже для элитного сегмента. Локация, которая говорит сама за себя Тихий и интеллигентный центр Пресни — место, где Москва раскрывается с лучшей стороны. В вашем окружении: — Центр Зотов и знаковые памятники конструктивизма — мастерская Зураба Церетели — Римско-католический каф"
b04,cian_332121171,"Москва, Фадеева ул., 4А",257500000,4,151.0,1272,"","ID 65287. Эксклюзив. Только в Intermark. ЖК Итальянский Квартал. Изящная квартира с авторской отделкой в знаковом элитном жилом комплексе Итальянский Квартал в районе Тверской, всего в 2 км от Кремля. Особенность квартиры: интерьер выполнен с безупречным вкусом и продуман до мелочей - это пространство, созданное ""для себя"" с любовью к деталям. В отделке использованы дорогостоящие натуральные материалы, эксклюзивная мебель изготовлена на заказ, техника - только премиальных брендов, а уникальные предметы декора привезены из разных стран, на полу уложен штучный паркет из дуба. Система климат-конт"
b04,cian_323753029,"Москва, Фадеева ул., д. 4А",275000000,4,174.0,1272,"","Лот: 35448. Ко-Эксклюзив NF GROUP. В продаже квартира с новой дизайнерской отделкой и террасой в элитном жилом комплексе ""Итальянский квартал"" — камерной резиденции в центре Москвы с атмосферой европейского города и выразительной архитектурой. Пространство сочетает эко-эстетику, премиальные материалы и современные инженерные решения, формируя уникальный характер городской резиденции. Интерьер выполнен в стиле эко-шик с использованием американского ореха, натурального слэба, декоративного мха и вставок из древнего аммонита. В гостиной установлен био-камин, кухня оснащена системой сенсорного отк"
b04,cian_320808345,"Москва, ул. Фадеева, д. 4а",275000000,4,174.0,1272,"","Эксклюзивная квартира с тремя спальнями общей площадью 174 м² в комплексе премиум-класса ""Итальянский квартал"" на четвёртом этаже. Квартира уникальна своим расположением в торцевой части дома. Это настоящая находка для тех, кто ценит комфорт и индивидуальность, так как в этой части дома всего четыре этажа и восемь квартир. Вы получаете не только пространство для жизни, но и возможность наслаждаться уединением. Выполнена авторская отделка с использованием натуральных материалов — американских орех, древний аммонит. На полу выложены плитка и паркетная доска. Произведены работы по комплексной шум"
b04,cian_323699235,"Москва, улица Климашкина, 7/11",283140500,2,154.3,1272,"","Климашкина 7/11 — редкая возможность жить в доме с историей и характером Открыт старт продаж в камерном клубном доме премиум-класса. Климашкина 7/11 — современный проект с редкой деталью: сохранённый фасад особняка XIX века. Всего 46 резиденций. На этаже — от 2 до 4 квартир, что создает исключительную приватность, редкую даже для элитного сегмента. Локация, которая говорит сама за себя Тихий и интеллигентный центр Пресни — место, где Москва раскрывается с лучшей стороны. В вашем окружении: — Центр Зотов и знаковые памятники конструктивизма — мастерская Зураба Церетели — Римско-католический каф"
b04,cian_331039050,"Россия, Москва, Дружинниковская улица, 15А",87500000,3,79.8,1275,"",Создали 3 варианта планировки с 2 спальнями ! Готовы выполнить их для покупателя под ключ - планировочные решения вы можете увидеть на фото. Приглашаем вас на просмотр видовых апартаментов в премиальном жилом комплексе Sky View. Из панорамных окон открываются впечатляющие виды на Московский зоопарк и легендарную высотку на Кудринской площади. Продуманная планировка: Просторная кухня-гостиная с зоной отдыха и приёма гостей Мастер-спальня с собственной гардеробной и ванной комнатой Гостевой санузел Просторная прихожая Возможность функционально спланировать вторую спальню Апартаменты идеально под
b04,cian_331593788,"Россия, Москва, Дружинниковская улица, 15А",100000000,3,95.0,1275,"","Предлагаются к продаже уникальные апартаменты без отделки в престижном жилом комплексе ""SkyView"". Общая площадь составляет 95 кв. м., что позволяет создать идеальное пространство для жизни в центре Москвы. Апартаменты находится всего в одной минуте от метро, а также предлагает эксклюзивный консьерж-сервис. ФУНКЦИОНАЛЬНАЯ ПЛАНИРОВКА: - совмещенная кухня-гостиная - 2 спальни - 2 санузла - гардеробная Апартаменты обладают 9 панорамными окнами, которые открывают потрясающие ВИДЫ на центр Москвы. Это создает атмосферу уюта и гармонии с природой, не покидая шумного мегаполиса. УСЛОВИЯ СДЕЛКИ: - Прям"
b04,cian_331596385,"Россия, Москва, Дружинниковская улица, 15А",115000000,3,91.4,1275,"","В престижном жилом комплексе ""SkyView"" предлагаются к продаже уникальные апартаменты БЕЗ ОТДЕЛКИ . Общая площадь составляет 91,4 кв. м., что позволяет создать идеальное пространство для жизни в центре Москвы. Квартира находится всего в одной минуте от метро, а также предлагает эксклюзивный консьерж-сервис. ФУНКЦИОНАЛЬНАЯ ПЛАНИРОВКА: - совмещенная кухня-гостиная - 2 спальни - 3 санузла - гардеробная Квартира обладает ПАНОРАМНЫМИ ОКНАМИ, которые открывают потрясающие ВИДЫ на центр Москвы, Белый Дом, Арбат. Это создает атмосферу уюта и гармонии с природой, не покидая шумного мегаполиса. УСЛОВИЯ С"
b04,cian_332362789,"Москва, Дружинниковская улица, 15А",115990000,3,93.9,1275,"","ID объявления: 600371 Оперативно продается апартамент в SkyView со свежей дизайнерской отделкой. Планировка: кухня-гостиная, мастер-спальня с ванной и гардеробной комнатами, вторая спальня, гостевой санузел. Из окон открывается вид на Московский Зоопарк и Высотку на Баррикадной. Документы готовы к сделке. Без обременений. Апартамент создавали ""под себя"". Продается по причине покупки апартамента побольше в этом же доме. Sky View — это премиальный комплекс апартаментов на Пресне. К августу откроется велнес-клуб MIR. Для резидентов откроют семь отдельных студий, 25-метровый бассейн, русскую баню,"
b04,cian_332029792,"Москва, Дружинниковская улица, 15 D",129900000,4,124.0,1275,"","Апартамент в новом современном комплексе Sky View, башня D. Общая площадь апартамента 124 кв. м, без отделки. Планируется: просторная кухня-гостиная, три спальни со своими ванными комнатами и гардеробными. Панорамные окна. Виды из окон в сторону центра Москвы на Зоопарк! В подземном паркинге два машино-места, не входят в стоимость. Роскошное расположение: ЦАО, Пресня: - 12 минут пешком до Парка Красная Пресня, 12 минут до Патриарших прудов, 1 минута до Пресненского детского Парка. Участник ассоциации агентств элитной недвижимости AREA."
b04,cian_331312959,"Москва, Дружинниковская ул., 15А",173000000,4,142.5,1275,"","ID 65090. Апартаменты с шикарным радиусным остеклением и видами на все достопримечательности центра Москвы в ЖК Sky View в Пресненском районе. Квартира идеально подходит под 2 сценария: для жизни и для дохода. Для жизни: вся инфраструктура внутри дома: фитнес с бассейном, сад на крыше, детский центр. Это жизнь с уровнем отеля, но со своим пространством и стилем. Апартаменты в состоянии whitebox - вы создаёте интерьер полностью под себя. Доход от аренды - от 350 000 до 550 000 ₽/мес. Окупаемость ремонта: при бюджете финишной отделки 10-12 млн ₽ и арендной ставке 450 000 ₽/мес. Затраты окупаются"
b04,cian_331595475,"Россия, Москва, Дружинниковская улица, 15А",180000000,4,194.9,1275,"","Предлагаются к продаже уникальные апартаменты 194.5 м² без отделки в премиальном жилом комплексе ""SkyView"" секция С, расположенном в самом сердце столицы. Впечатляющие 14 панорамных окон с видами на сталинскую высотку, центр города создают атмосферу простора и света. Идеальный выбор для тех, кто хочет реализовать индивидуальный проект. Планировка: - Кухня-гостиная (совмещённая) - 2 мастер-спальни - 1 гостевая спальня - 3 санузла - 2 гардеробные Кому подойдёт: - Для семей, ценящих комфорт — три спальни, простор и приватность - Для тех, кто работает в центре — метро рядом, всё рядом - Для поклон"
b04,cian_331232608,"Россия, Москва, Дружинниковская улица, 15А",299990000,4,174.0,1275,"","Код объекта: 2223820. 5-к квартира с 4 спальнями в новом премиальном ЖК Sky view (Скай вью), башня С. Дизайнерский ремонт, в спокойной эстетике премиум-класса, на данный момент ведутся ремонтные работы, срок окончания - начало осени 2026 г. (визуализация в описании). Уже готова предчистовая отделка, уложен паркет, заказана мебель и техника. Эксклюзивно от АН RED squared. Квартира: Пространство и свет: потолки 3,5 м, панорамные окна, красивый вид на город в сторону Белого дома и Москва-сити, который ничем не загорожен. План: большая кухня-гостиная 51 м², 2 изолированные мастер-спальни, 1 детска"
b04,cian_332791431,"Москва, Дружинниковская улица, 15",320000000,4,155.0,1275,"","ID 9885 ЖК ""Скай вью"" (Sky view) (Дружинниковская ул., дом 15а) ВИД на ЦАО, башня ""В"" 155 м2 / 4 комнаты/ 15 эт 3 мастер-спальни, Ремонт закончен, никто не жил -большая кухня- гостиная 53м2.; -главная мастер-спальня (44 м2) со своим с/у и гардеробной -мастер-спальня 2 (33 м2.) со своим с/у и гардеробной -мастер-спальня 3 (28 м2) со своим с/у и гардеробной -отдельная постирочная комната 5 м2 (есть стиральная и сушильная машина) -4 с/у и 3 гардеробные комнаты Полностью открывающиеся окна в пол, с панорамным видом на центр Москвы (один из лучших видов в ЖК ""Скай вью"", вид от зоопарка до всех высо"
b04,cian_329284761,"Москва, Дружинниковская, 15а",475000000,4,205.0,1275,"","Предлагаются к продаже изысканные апартаменты в премиальном комплексе Sky View — воплощение современного городского комфорта и безупречного стиля. Резиденты комплекса наслаждаются инфраструктурой уровня пятизвёздочного отеля: просторная фитнес-зона и SPA-пространство площадью более 2000 м², а также тщательно отобранная коллекция авторских ресторанов, расположенных непосредственно в комплексе. Квартира отличается продуманной планировкой и высококлассной реализацией дизайнерского проекта от студии Bash Interiors. Пространство включает несколько спален, наполненных светом благодаря панорамным окн"
b04,cian_330952039,"Россия, Москва, 2-я Брестская улица, 43",25000000,1,35.0,1286,"","Квартира-студия с дизайнерским ремонтом в 3 минутах ходьбы от станции метро Белорусская. Окна выходят во двор. Тишина и уединённость в историческом центре Москвы. В подарок покупателю остаётся вся мебель и техника. Сплит-система, посудомойка, вытяжка, духовой шкаф. Полы с подогревом, электрический камин, качественная сантехника, стиральная машина. Ванная комната впечатлит вас размерами, функциональностью и красотой. Дом 1910 года находится в отличном состоянии. Установлен пассажирский лифт, а также произведена замена всех коммуникаций. Территория огорожена, наземная парковка только для жильцов"
b04,cian_331726533,"Москва, Дружинниковская улица, 18",204017394,2,73.9,1308,"","Старт продаж! Продаётся 2-комнатная квартира евроформата в клубном жилом проекте элит-класса ""Дом Спорта"". Планировка квартиры сочетает функциональность, приватность и возможность адаптации пространства под разные сценарии жизни: — Изолированная спальня с гардеробной — комфортная приватная зона для отдыха — Просторная кухня-гостиная — центр повседневной жизни, общения и приёма гостей Ключевое преимущество квартиры — выразительная гостиная зона с панорамным полукруглым остеклением. Благодаря плавной архитектуре фасада пространство приобретает мягкую геометрию, а необычная форма окон делает инте"
b04,cian_332472990,"Москва, Дружинниковская улица, 18",346763445,4,124.5,1308,"","Старт продаж! Продаётся квартира с продуманной планировкой для проживания семьи в клубном жилом проекте элит-класса ""Дом Спорта"". Свет, простор и выразительная архитектура с закруглёнными окнами формируют уникальное жилое пространство с особой атмосферой уюта и приватности в центре Москвы. Планировка квартиры позволяет адаптировать пространство под ваш стиль жизни, наполняя ее простором и свободой. — Кухня-столовая с большим количеством окон, ориентированных на юг, наполненная естественным светом в течение всего дня — Гостиная площадью 25 м², которую можно объединить с кухней для создания масш"
b04,cian_332472993,"Москва, Дружинниковская улица, 18",358697766,4,124.4,1308,"","Продаётся квартира с продуманной планировкой для проживания семьи в клубном жилом проекте элит-класса ""Дом Спорта"". Свет, пространство и редкая архитектура панорамных окон — квартира, в которой интерьер становится продолжением вида за окном. Планировка квартиры позволяет адаптировать пространство под ваш стиль жизни, наполняя ее простором и свободой. — Кухня-столовая с большим количеством окон, ориентированных на юг, наполненная естественным светом в течение всего дня — Гостиная площадью 25 м², которую можно объединить с кухней для создания масштабного пространства или изолировать для более пр"
b04,cian_324141169,"Москва, Никитский бульвар, 6/20",281295000,2,114.0,1311,"","Квартира с 1 мастер-спальней общей площадью 114 м2 расположена на 3-м этаже жилого дома ""Никитский 6"". Из окон открывается вид на Никитский бульвар, Дом союза журналистов. Планировочное решение включает панорамную кухню-гостиную, 1 мастер-спальню с личной гардеробной и ванной комнатой, а также функциональные сервисные пространства. Во всех квартирах предусмотрена высококачественная авторская отделка с кухонной мебелью, бытовой техникой и полностью оборудованными ванными комнатами. В интерьере предложены природные оттенки и натуральные премиальные материалы: дерево, различные породы камня, элем"
b04,cian_324141153,"Москва, Никитский бульвар, 6/20",379843200,3,145.2,1311,"","Квартира общей площадью 145,2 кв. м расположена на 2-м этаже жилого дома ""Никитский 6"". Из окон открывается вид на Никитский бульвар, Арбат, Дом-музей им. Н.В. Гоголя и Центральный Дом журналиста. Планировочное решение включает панорамную кухню-гостиную, 2 мастер-спальни с личными ванными и гардеробными комнатами и сервисные помещения. Во всех квартирах предусмотрена высококачественная авторская отделка с кухонными модулями, бытовой техникой и полностью оборудованными ванными комнатами. В интерьере предложены природные оттенки и натуральные премиальные материалы: дерево, различные породы камня"
b04,cian_330219711,"Москва, Никитский бульвар, 6/20",836316000,3,178.7,1311,"","Квартира с 2 мастер-спальнями общей площадью 178,7 м2 расположена на 6-м этаже жилого дома ""Никитский 6"". Из окон гостиной открывается панорамный вид на тихие Нижний Кисловский и Калашный переулки, Центральный дом журналиста. Планировочное решение включает панорамную кухню-гостиную и 2 мастер-спальни с личной гардеробной и ванной комнатой, а также функциональные сервисные пространства. Во всех квартирах предусмотрена высококачественная авторская отделка с кухонной мебелью, бытовой техникой и полностью оборудованными ванными комнатами. В интерьере предложены природные оттенки и натуральные прем"
b04,cian_324824022,"Москва, Никитский бульвар, 6/20",869022000,4,254.1,1311,"","Квартира общей площадью 254,1 кв. м расположена на 4-м этаже жилого дома ""Никитский 6"". Из окон открывается вид на Никитский бульвар, Арбат, Дом-музей им. Н.В. Гоголя и Центральный Дом журналиста. Планировочное решение включает панорамную кухню-гостиную, 3 мастер-спальни с личными ванными и гардеробными комнатами и сервисные помещения. Во всех квартирах предусмотрена высококачественная авторская отделка с кухонными модулями, бытовой техникой и полностью оборудованными ванными комнатами. В интерьере предложены природные оттенки и натуральные премиальные материалы: дерево, различные породы камня"
b04,cian_332048474,"Россия, Москва, Новинский бульвар, 13с6",60000000,4,102.3,1337,"","Престижная локация в самом сердце Москвы — здесь историческая атмосфера встречается с удобствами современного города. Тихий, ухоженный дом со всеми окнами во двор. По две квартиры на этаже, есть лифт. Один собственник, без обременений, владеет с 2017 года, выписка до сделки. Согласно проекту в квартире: четыре изолированные комнаты, кухня, прихожая, раздельный санузел и небольшое подсобное помещение. Рядом вся инфраструктура для жизни: престижные школы (в т.ч. с углублённым изучением иностранных языков) и билингвальные детские сады, многопрофильные клиники, стоматологии, фитнес-клубы, включая "
b04,cian_326693633,"Москва, Дмитровка Б. ул., д. 9",140000000,2,59.0,1345,"","Лот: 102298. Эксклюзивно в продаже только у NF GROUP. В продаже апартамент с дизайнерской отделкой в особняке ""Свет"" клубного комплекса класса de luxe ""Большая Дмитровка IX"", расположенного в самом центре Москвы, в пешей доступности от Красной площади. Пространство сочетает современную архитектуру, премиальные материалы и тщательно подобранные предметы мирового дизайна, создавая стильную городскую резиденцию для комфортной жизни. Интерьер выполнен в современной эстетике и частично меблирован знаковыми предметами ведущих мировых брендов. В гостиной установлен культовый диван B&B Italia, барные "
b04,cian_328026696,"Россия, Москва, улица Большая Дмитровка, 9с1",143000000,2,55.1,1345,"","В историческом районе Москвы, в жилом комплексе Большая Дмитровка IX, представляем вашему вниманию 2-х комнатный апартамент с премиальной отделкой. Использованы только высококачественные натуральные материалы, а вся техника от известного бренда Miele. Апартамент отличается продуманной планировкой: здесь имеется ванная комната с окном и отдельный гостевой санузел с душевой кабиной. Установлены современные системы вентиляции и кондиционирования, а также система ""умный дом"", что обеспечивает максимальный комфорт. Частично меблированный апартамент полностью готов к проживанию. На огороженной зелен"
b04,cian_330666346,"Россия, г. Москва, Дмитровка Б. ул., д. 9, стр. 1",310000000,2,81.8,1345,"","207907 ЖК Большая Дмитровка IX В объекте завершен дизайнерский ремонт. Продуманная инженерия, натуральный камень, паркет. Сантехника, мебель и техника - исключительно премиальные бренды. Высота потолков более 4 м. В апартаменты отдельный вход, который позволяет забыть про лифты и общие холлы. Планировка включает просторную кухню-гостиную, мастер спальню со своим санузлом и гардеробной, гостевой санузел с постирочной. В апартаментах никто не жил. Они полностью укомплектованы и готовы к проживанию. Экосистема Kalinka недвижимость для счастья. Участник ассоциации AREA"
b04,cian_332152698,"Россия, Москва, Малая Грузинская улица, 12",24000000,2,43.9,1347,"","Квартира в одном из лучших и желанных районов Москвы! Здесь Вы не переплачиваете за чужой ремонт и мебель, а создадите пространство по своему вкусу. Состояние квартиры на фото. Один взрослый собственник, без обременений. Зарегистрированных нет. Полная стоимость в ДКП. Быстрый выход на сделку."
b04,cian_328220814,"Москва, Петровка улица, д. 28стр1",120000000,3,120.4,1352,"","Лот: 106628. В продаже квартира с отделкой в реконструированном историческом особняке ""Петровка, 28"" - клубном доме на 10 квартир на Бульварном кольце. Планировка: - кухня-гостиная, - спальня и кабинет (или вторая спальня), - две просторные ванные комнаты, - гардеробная. Высота потолков - 3,2 м. В квартире выполнена отделка, пространство меблировано. Встроенная кухня оснащена всей необходимой бытовой техникой. В доме предусмотрены наземный паркинг на закрытой территории, на первом этаже расположен ресторан с витринными окнами. Есть возможность получения резидентного разрешения на парковку. Дом"
